task,model,params,train_seconds,infer_seconds,infer_samples_per_sec,infer_seconds_beam,infer_sents_per_sec_beam,infer_seconds_greedy,infer_sents_per_sec_greedy
sentiment,NaiveBayes,,1.7764341831207275,0.4104840755462646,3654.222147360595,,,,
sentiment,TextCNN,1733377.0,1.6953318119049072,0.0945088863372802,15871.523389312284,,,,
sentiment,Transformer,1801089.0,2.485006093978882,0.2408113479614257,6228.942334728663,,,,
sentiment,BiGRU,1734401.0,1.040518045425415,0.0949974060058593,15789.904830743284,,,,
reuters,NaiveBayes,,0.2735595703125,0.0599973201751709,11667.187766991065,,,,
reuters,TextCNN,1750702.0,2.6003098487854004,0.056997537612915,12281.232300838685,,,,
reuters,Transformer,1806894.0,2.529460191726685,0.1289997100830078,5426.36878446912,,,,
reuters,BiGRU,1829166.0,3.743894100189209,0.0955150127410888,7328.6908509082195,,,,
translation,Transformer,3015428.0,105.90835547447205,,,146.32656383514404,4.78382039223337,42.98301601409912,16.28550215672136
translation,Seq2Seq+Attention,3237380.0,42.34464955329895,,,31.95829606056213,21.9035457545507,8.038277387619019,87.08333468041015
