model,accuracy,f1_macro,f1_weighted,params,train_seconds,infer_seconds,infer_samples_per_sec,best_val_f1_macro,best_epoch,trained_epochs,ratio,task
NaiveBayes,0.7704626334519573,0.4049669897989604,0.7493105283980142,,0.0796499252319336,0.0218708515167236,25696.301745282504,,,,0.25,reuters
TextCNN,0.7473309608540926,0.3130673499144827,0.7167412519619962,2774702.0,5.183791399002075,0.0473551750183105,11867.763127951586,0.3892241438585264,10.0,14.0,0.25,reuters
CNNBiGRU,0.693950177935943,0.2996602594572993,0.6784700060874203,2917166.0,107.2538845539093,0.6365838050842285,882.8374135682574,0.3747948259869879,14.0,15.0,0.25,reuters
BiGRU,0.6832740213523132,0.2321193999510888,0.6660374561457272,2853166.0,98.88920378684998,0.6005628108978271,935.7888797007316,0.2918335581199544,15.0,15.0,0.25,reuters
Transformer,0.6957295373665481,0.2114247476063346,0.6681121363175119,2830894.0,31.095157146453857,0.2187128067016601,2569.5797538120755,0.3030775218933114,15.0,15.0,0.25,reuters
NaiveBayes,0.7853962600178095,0.4210780825214354,0.7715136824425296,,0.1563069820404052,0.0424039363861084,26483.390357313543,,,,0.5,reuters
BiGRU,0.7818343722172751,0.4176631460979163,0.7710506423342648,2853166.0,197.89309906959537,1.233522891998291,910.4006154119724,0.3893959532606713,15.0,15.0,0.5,reuters
TextCNN,0.7943009795191451,0.405227724716118,0.7746469705118018,2774702.0,9.170288801193236,0.0754933357238769,14875.48522305948,0.4705469860018646,8.0,12.0,0.5,reuters
CNNBiGRU,0.7764915405164737,0.3986175925563436,0.7675287976922407,2917166.0,214.5899977684021,1.3351497650146484,841.1041438393836,0.4377143484951712,15.0,15.0,0.5,reuters
Transformer,0.7577916295636687,0.2976916439462688,0.739384746241323,2830894.0,62.12964630126953,0.2252461910247802,4985.655894516121,0.3923273440326164,14.0,15.0,0.5,reuters
TextCNN,0.8148367952522255,0.527272483677911,0.8023852518865524,2774702.0,15.946842193603516,0.1024796962738037,16442.2813617445,0.5535306379916305,13.0,15.0,0.75,reuters
NaiveBayes,0.7845697329376855,0.497614080447018,0.778177166877168,,0.2419538497924804,0.0664670467376709,25350.908197415192,,,,0.75,reuters
CNNBiGRU,0.7893175074183977,0.4514612003012942,0.780802567316285,2917166.0,317.16532850265503,1.9783689975738523,851.7116888034427,0.5054032285626746,15.0,15.0,0.75,reuters
BiGRU,0.7792284866468843,0.4190082499865605,0.7706163794600098,2853166.0,293.65793108940125,1.8320410251617432,919.739229011664,0.4809871443021678,15.0,15.0,0.75,reuters
Transformer,0.7810089020771513,0.3750864255077605,0.7716922546602171,2830894.0,92.3873212337494,0.3304939270019531,5098.429539342314,0.3877076728614088,13.0,15.0,0.75,reuters
TextCNN,0.8121104185218165,0.5639998279153056,0.8046038106549394,2774702.0,19.90044927597046,0.1301119327545166,17262.0600774377,0.5645650643652746,10.0,14.0,1.0,reuters
NaiveBayes,0.786286731967943,0.5584405514717821,0.7834468330812612,,0.3171288967132568,0.0843820571899414,26617.032990133474,,,,1.0,reuters
BiGRU,0.7960819234194123,0.5362062769128775,0.7900880540280586,2853166.0,393.9566435813904,2.413288831710815,930.6801450731358,0.517774088798003,13.0,15.0,1.0,reuters
CNNBiGRU,0.794746215494212,0.532479855688427,0.7911284507145635,2917166.0,426.18186807632446,2.6367039680480957,851.8210717688847,0.5152356179176644,11.0,15.0,1.0,reuters
Transformer,0.8032056990204809,0.503615301674104,0.7928981346035726,2830894.0,123.36392116546632,0.4289829730987549,5235.639036617323,0.5102022780218622,15.0,15.0,1.0,reuters
