number,state,value,embedding_dim,num_heads,lr,weight_decay,dropout,ff_dim,num_layers,batch_size,loss,_best_val_f1_macro,_params,_test_accuracy,_test_f1_weighted,_trained_epochs,focal_gamma
0,COMPLETE,0.47125481295894345,128,8,0.0010502105436744284,0.00013311216080736876,0.10823379771832098,128,1,96,ce,0.45442646728730945,2665518.0,0.7742653606411398,0.7641069848676962,15.0,
1,COMPLETE,0.4741734325547458,96,2,0.0010150667045928582,1.3783237455007196e-06,0.34301794076057535,512,4,32,ce,0.5230487865087352,2470638.0,0.7876224398931434,0.7683921834922535,15.0,
2,COMPLETE,0.530645247850754,192,2,0.000848876216140871,3.5856126103453987e-06,0.48783385110582345,256,3,32,focal,0.5976416726379684,4592110.0,0.786286731967943,0.7791272014298617,15.0,2.249047803602669
3,COMPLETE,0.01136639835294454,128,4,0.0047499747713783975,0.00020736445177905034,0.17948627261366898,256,3,32,focal,0.011360794541102497,2963374.0,0.3539626001780944,0.1850708761207399,5.0,3.304841570724011
4,COMPLETE,0.5490411880961127,256,4,0.00015965665886173757,0.00013795402040204168,0.404314019446759,256,3,32,focal,0.5077909590162233,6319150.0,0.8058771148708815,0.798355761014651,15.0,1.91460191484347
5,PRUNED,0.06628589136016459,128,8,0.00018789279685460533,0.0006153085601625311,0.4232481518257668,256,1,32,ce,,,,,,
6,PRUNED,0.4811488988615803,256,4,0.0002384264912981741,2.288738114460097e-06,0.2350460685614512,128,3,64,focal,,,,,,1.8539523941754634
7,PRUNED,0.04064239576674309,160,4,0.00017626741740706345,2.9400741309033083e-05,0.4942601816442403,512,1,32,ce,,,,,,
8,PRUNED,0.4412591000957742,128,4,0.0007413627235366399,4.780654141328926e-06,0.35806911616377995,256,4,64,ce,,,,,,
9,PRUNED,0.011360794541102497,160,8,0.0033867510216238263,7.930569433855143e-05,0.2356119164194803,512,4,32,focal,,,,,,3.2289307684681545
10,PRUNED,0.05549682124458978,256,4,0.00010299654796681868,1.904241954926742e-05,0.40429346825262213,256,2,96,focal,,,,,,0.5554002630422188
11,PRUNED,0.4235504688810931,192,2,0.00039023310167423986,7.528620336596259e-06,0.49861086817852973,256,3,32,focal,,,,,,1.7091126992583128
12,PRUNED,0.09718579005090784,192,2,0.0020466059519728946,0.0004634762792068761,0.43495867556746143,256,2,32,focal,,,,,,4.767079896393366
13,PRUNED,0.3233419631336945,192,2,0.0005189830621617884,1.1468235069034277e-05,0.4484585963567844,256,3,96,focal,,,,,,2.1233390954485625
14,PRUNED,0.06280862914953557,256,2,0.0018126848188883167,7.737864789719572e-05,0.35697516297353865,256,2,32,focal,,,,,,1.167260930013227
15,PRUNED,0.0818501069341324,96,4,0.00033135979063949906,5.108443318983018e-05,0.38237552094553007,128,3,64,focal,,,,,,2.567352855819511
16,PRUNED,0.08033104138594331,192,2,0.0001052909610884601,0.0002321647886233195,0.3026648849062457,256,2,32,focal,,,,,,3.7355087525010817
17,PRUNED,0.028332592159940505,256,4,0.0016439331182297745,3.4555037868881824e-06,0.4642404538732598,256,4,32,focal,,,,,,2.552847519494981
18,COMPLETE,0.5662853966889511,192,2,0.0006425253454490731,1.1708523990416343e-06,0.3198043450112642,128,3,96,focal,0.5457064963067334,4444270.0,0.7996438112199465,0.7966889223629057,15.0,1.2771938688440876
19,PRUNED,0.48693650370451225,256,8,0.0005002033419229595,1.027025034140457e-06,0.3069410260856267,128,2,96,focal,,,,,,1.159164507710802
20,PRUNED,0.07904169932681142,96,2,0.00028248402361061075,1.9495019626560355e-05,0.253723332915716,128,4,96,focal,,,,,,1.2064887412657073
21,PRUNED,0.4726250176254572,192,2,0.0007542869115360291,2.0281115086020896e-06,0.3941272066508424,128,3,96,focal,,,,,,2.1293457340260478
22,COMPLETE,0.5787709277975964,192,2,0.0011603128921080018,4.3286817213253375e-06,0.46272622504537964,128,3,96,focal,0.5914312063067202,4444270.0,0.807212822796082,0.8051246966484116,15.0,1.5270297742584553
23,COMPLETE,0.6371881287141672,192,2,0.0013174790393799137,8.293478034295821e-06,0.3221024660311547,128,3,96,focal,0.6230699378426432,4444270.0,0.8156723063223509,0.812328836285821,15.0,0.7347608621198866
24,COMPLETE,0.5573266290802222,192,2,0.0016077077955306475,8.752861857423238e-06,0.2797593049809719,128,3,96,focal,0.5727243600263896,4444270.0,0.7934105075690115,0.7910736987753455,15.0,0.8129742589951917
25,COMPLETE,0.5814584869767997,192,2,0.0011973641046544375,6.046215286978682e-06,0.18462977824068266,128,2,96,focal,0.5595484003275341,4245806.0,0.8000890471950134,0.7977389417950236,15.0,1.4826757782270013
26,PRUNED,0.4214710411180459,192,2,0.0012792725903021792,5.574741562476708e-06,0.17795973377197905,128,2,96,ce,,,,,,
27,PRUNED,0.5082690177751218,192,2,0.002712368151986029,1.1476090326120254e-05,0.17505929472155235,128,2,96,focal,,,,,,0.5465679753609343
28,COMPLETE,0.5506178521698454,192,2,0.002426826413624533,1.5833173243211124e-05,0.11133335373405584,128,2,96,focal,0.6211546960617911,4245806.0,0.796527159394479,0.7917943711991702,15.0,1.5630585716756071
29,PRUNED,0.17026431541503637,160,8,0.0012885043272370825,2.395789248899487e-06,0.21699200667583174,128,1,96,ce,,,,,,
