number,state,value,embedding_dim,num_heads,lr,weight_decay,dropout,ff_dim,num_layers,batch_size,_best_val_f1,_params,_test_accuracy,_test_precision,_test_recall,_trained_epochs
0,COMPLETE,0.795499407816818,128,8,0.0010502105436744284,0.00013311216080736876,0.10823379771832098,128,1,96,0.801330008312552,2659713.0,0.7928,0.7898863190905527,0.8011928429423459,11.0
1,COMPLETE,0.7835134053621449,160,8,0.00021839352923182988,3.489018845491386e-05,0.336965827544817,256,1,64,0.7900414937759336,3386177.0,0.7836,0.7885622231171969,0.7785288270377734,12.0
2,COMPLETE,0.7771497779572063,160,8,0.00027520696850790545,9.717775305059631e-05,0.2246844304357644,256,4,64,0.7932773109243697,3944225.0,0.7792,0.7892578925789258,0.7654075546719682,10.0
3,COMPLETE,0.7967361740707162,128,4,0.0025585868855934266,1.1756010900231857e-05,0.2123738038749523,512,1,32,0.7997010463378177,2758401.0,0.7758,0.7323333333333333,0.873558648111332,7.0
4,COMPLETE,0.7190012695725773,128,4,0.0029267581150621315,7.411299781083242e-05,0.23235920994105969,512,3,64,0.7250437828371279,3154945.0,0.7344,0.7684305744007237,0.6755467196819086,5.0
5,PRUNED,0.7396293027360988,256,4,0.00011045524260304731,2.107047280657824e-06,0.11257167427469371,128,4,96,,,,,,
6,PRUNED,0.7723054960742327,256,8,0.0023196088229293613,3.6283583803549183e-06,0.45702359939599113,512,2,96,,,,,,
7,PRUNED,0.6688851913477537,128,8,0.003999220074578466,9.324140221663481e-06,0.30751624869734645,512,4,64,,,,,,
8,PRUNED,0.7479270315091211,160,4,0.00017626741740706345,2.9400741309033083e-05,0.4942601816442403,512,1,32,,,,,,
9,COMPLETE,0.8125238640702558,192,8,0.0014163204528693995,1.1214075785991133e-06,0.3048372233197124,256,3,64,0.8291139240506329,4583425.0,0.8036,0.781491002570694,0.8461232604373757,12.0
10,COMPLETE,0.8152459631993991,192,2,0.0007588039860601247,0.0006264278041381339,0.395039926199431,256,3,64,0.8191653786707882,4583425.0,0.8032,0.7723230167200285,0.863220675944334,12.0
11,PRUNED,0.7970540098199672,192,2,0.0006984451480999678,0.0006877477209765822,0.3831066834182323,256,3,64,,,,,,
12,PRUNED,0.775609756097561,192,2,0.0008728876414747181,0.0007028664929159423,0.4004927819438055,256,3,64,,,,,,
13,COMPLETE,0.7936258115286249,192,2,0.0005255213509397522,0.0004216116670969349,0.36468809961191095,256,2,64,0.8035284683239775,4335681.0,0.7902,0.785436137071651,0.8019880715705765,9.0
14,PRUNED,0.7662018047579984,96,2,0.0014766626728510263,1.2711690791672407e-06,0.4394749764890513,256,3,64,,,,,,
15,PRUNED,0.7661510464058234,192,2,0.0005074854401817235,0.0002343673263230618,0.27876746086553233,256,2,32,,,,,,
16,PRUNED,0.7756360832690825,192,2,0.0013815081430886336,4.928840335968442e-06,0.27913519740471965,256,3,64,,,,,,
17,PRUNED,0.7512274959083469,96,8,0.0003770422757655889,3.532530465853951e-05,0.33632846528362886,128,2,64,,,,,,
18,COMPLETE,0.8182484426529865,192,8,0.0014710216306556088,1.5592833336563803e-05,0.16682919490895404,256,4,96,0.8197718631178708,4831169.0,0.8016,0.7587495752633368,0.8878727634194831,12.0
19,PRUNED,0.7319778188539742,192,2,0.0018511066642985417,1.3637004169431737e-05,0.16705401597694908,256,4,96,,,,,,
20,PRUNED,0.6688851913477537,192,8,0.004450507839462445,0.00022571142747716575,0.1658800670589126,128,4,96,,,,,,
21,COMPLETE,0.8213887857408095,192,8,0.0011434137802649885,1.0142705834419154e-06,0.4196675150309248,256,3,96,0.8234387047031612,4583425.0,0.8076,0.7704632532218739,0.8795228628230616,12.0
22,COMPLETE,0.8145073980512451,192,8,0.0008715312343767099,5.2994879294165e-06,0.40912531750393927,256,4,96,0.8218562874251497,4831169.0,0.7944,0.7456227287743641,0.8974155069582505,12.0
23,COMPLETE,0.8135017914388082,192,8,0.0005986022317682502,2.5835043782260565e-06,0.4449923596722282,256,3,96,0.8095605242868157,4583425.0,0.8022,0.7736728837876614,0.8576540755467197,7.0
24,PRUNED,0.7780772686433064,256,8,0.0008828207602873942,5.179568209107796e-05,0.488151921960722,256,3,96,,,,,,
25,PRUNED,0.7475982532751092,96,2,0.0011603128921080018,1.7529731728332255e-05,0.41728548354518685,256,4,96,,,,,,
26,PRUNED,0.7894736842105263,192,8,0.000403373372881947,7.301472757954197e-06,0.35453981892470765,256,2,96,,,,,,
27,PRUNED,0.594547053649956,192,8,0.0018731758102791686,2.092820305943043e-05,0.16850865579513954,256,3,32,,,,,,
28,PRUNED,0.5924132364810331,192,4,0.0031887353918079947,0.00020376371213651432,0.4715947600246223,128,4,96,,,,,,
29,PRUNED,0.7778709136630344,192,2,0.0010524655340541913,0.00012625380122888676,0.12120723239401199,256,3,96,,,,,,
