task,model,mode,p,f1
sentiment,TextCNN,delete,0.0,0.5811742777260018
sentiment,BiGRU,delete,0.0,0.5692749461593682
sentiment,Transformer,delete,0.0,0.5350669818754925
sentiment,CNNBiGRU,delete,0.0,0.567391708496003
sentiment,TextCNN,delete,0.05,0.5805493689680772
sentiment,BiGRU,delete,0.05,0.5719914040114613
sentiment,Transformer,delete,0.05,0.5289582921525994
sentiment,CNNBiGRU,delete,0.05,0.5623362036690378
sentiment,TextCNN,delete,0.1,0.5798617597608817
sentiment,BiGRU,delete,0.1,0.5748116254036598
sentiment,Transformer,delete,0.1,0.5382803297997645
sentiment,CNNBiGRU,delete,0.1,0.5678504672897197
sentiment,TextCNN,delete,0.15,0.5731410376474996
sentiment,BiGRU,delete,0.15,0.5785714285714286
sentiment,Transformer,delete,0.15,0.5385968340824702
sentiment,CNNBiGRU,delete,0.15,0.5612722170252572
sentiment,TextCNN,delete,0.2,0.5766301318967119
sentiment,BiGRU,delete,0.2,0.5717888668708341
sentiment,Transformer,delete,0.2,0.5398868734152525
sentiment,CNNBiGRU,delete,0.2,0.5641986879100281
sentiment,TextCNN,unk,0.0,0.5811742777260018
sentiment,BiGRU,unk,0.0,0.5692749461593682
sentiment,Transformer,unk,0.0,0.5350669818754925
sentiment,CNNBiGRU,unk,0.0,0.567391708496003
sentiment,TextCNN,unk,0.05,0.5603328710124826
sentiment,BiGRU,unk,0.05,0.5496876774559909
sentiment,Transformer,unk,0.05,0.5022231632437011
sentiment,CNNBiGRU,unk,0.05,0.52719836400818
sentiment,TextCNN,unk,0.1,0.5234928127011371
sentiment,BiGRU,unk,0.1,0.5314629258517034
sentiment,Transformer,unk,0.1,0.4620987935351696
sentiment,CNNBiGRU,unk,0.1,0.47897458961097367
sentiment,TextCNN,unk,0.15,0.4705609643022717
sentiment,BiGRU,unk,0.15,0.4995748299319728
sentiment,Transformer,unk,0.15,0.4184600669536107
sentiment,CNNBiGRU,unk,0.15,0.4028161931103847
sentiment,TextCNN,unk,0.2,0.41851106639839036
sentiment,BiGRU,unk,0.2,0.4562841530054645
sentiment,Transformer,unk,0.2,0.39709200300827274
sentiment,CNNBiGRU,unk,0.2,0.3167649536647009
