model_decode,error_tag,count
seq2seq_beam,semantic_or_grammar_error,78
seq2seq_beam,low_keyword_overlap,1
seq2seq_beam,under_translation,1
seq2seq_greedy,semantic_or_grammar_error,78
seq2seq_greedy,low_keyword_overlap,1
seq2seq_greedy,over_translation,1
transformer_beam,semantic_or_grammar_error,72
transformer_beam,under_translation,7
transformer_beam,low_keyword_overlap,1
transformer_greedy,semantic_or_grammar_error,73
transformer_greedy,under_translation,5
transformer_greedy,over_translation,2
